Expediente,Mercado,FechaResolucion,Decision,Rubro,Efecto
CNT-078-2023,,2023-12-10,AUTORIZADA,CNT,HORIZONTAL
CNT-087-2023,,2023-12-10,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-068-2023,,2023-05-10,AUTORIZADA,CNT,DIVERSIFICACION POR LINEA DE PRODUCTO
CNT-074-2023,,2023-05-10,AUTORIZADA,CNT,HORIZONTAL
CNT-082-2023,,2023-05-10,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-043-2023,,2023-09-27,AUTORIZADA,CNT,HORIZONTAL
CNT-079-2023,,2023-09-27,AUTORIZADA,CNT,DIVERSIFICACION POR EXTENSIÓN DE MERCADO
CNT-081-2023,,2023-09-27,AUTORIZADA,CNT,HORIZONTAL
CNT-083-2023,,2023-09-27,AUTORIZADA,CNT,HORIZONTAL
CNT-030-2023,,2023-09-21,AUTORIZADA,CNT,HORIZONTAL
CNT-073-2023,,2023-09-21,AUTORIZADA,CNT,HORIZONTAL
CNT-069-2023,,2023-09-14,AUTORIZADA,CNT,HORIZONTAL
CNT-072-2023,,2023-06-09,AUTORIZADA,CNT,HORIZONTAL
CNT-060-2023,,2023-08-31,AUTORIZADA,CNT,HORIZONTAL
CNT-061-2023,,2023-08-24,AUTORIZADA,CNT,HORIZONTAL
CNT-067-2023,,2023-08-24,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-063-2023,,2023-08-17,AUTORIZADA,CNT,DIVERSIFICACION POR EXTENSIÓN DE MERCADO
CNT-071-2023,,2023-08-17,AUTORIZADA,CNT,VERTICAL
CNT-023-2023,,2023-10-08,AUTORIZADA,CNT,AUMENTO DE PARTICIPACIÓN ACCIONARIA
CNT-065-2023,,2023-10-08,AUTORIZADA,CNT,HORIZONTAL
CNT-123-2022,,2023-10-08,AUTORIZADA,CNT,HORIZONTAL
CNT-044-2023,,2023-03-08,AUTORIZADA,CNT,HORIZONTAL
CNT-064-2023,,2023-07-13,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-012-2023,,2023-11-07,AUTORIZADA,CNT,HORIZONTAL
CNT-059-2023,,2023-06-07,AUTORIZADA,CNT,HORIZONTAL
CNT-049-2023,,2023-06-28,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-154-2022,,2023-06-28,AUTORIZADA,CNT,VERTICAL
CNT-026-2023,,2023-06-22,AUTORIZADA,CNT,HORIZONTAL
CNT-040-2023,,2023-06-22,AUTORIZADA,CNT,HORIZONTAL
CNT-050-2023,,2023-06-22,AUTORIZADA,CNT,AUMENTO DE PARTICIPACIÓN ACCIONARIA
CNT-054-2023,,2023-06-22,AUTORIZADA,CNT,HORIZONTAL
CNT-055-2023,,2023-06-22,AUTORIZADA,CNT,REESTRUCTURACIÓN CORPORATIVA
CNT-056-2023,,2023-06-22,AUTORIZADA,CNT,VERTICAL
CNT-057-2023,,2023-06-22,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-036-2023,,2023-08-06,AUTORIZADA,CNT,VERTICAL
CNT-038-2023,,2023-08-06,AUTORIZADA,CNT,HORIZONTAL
CNT-042-2023,,2023-08-06,AUTORIZADA,CNT,HORIZONTAL
CNT-053-2023,,2023-08-06,AUTORIZADA,CNT,AUMENTO DE PARTICIPACIÓN ACCIONARIA
CNT-162-2022,,2023-08-06,AUTORIZADA,CNT,HORIZONTAL
CNT-048-2023,,2023-01-06,AUTORIZADA,CNT,HORIZONTAL
CNT-100-2022,,2023-01-06,AUTORIZADA,CNT,HORIZONTAL
CNT-024-2023,,2023-05-25,AUTORIZADA,CNT,HORIZONTAL
CNT-031-2023,,2023-05-25,AUTORIZADA,CNT,HORIZONTAL
CNT-034-2023,,2023-05-25,AUTORIZADA,CNT,HORIZONTAL
CNT-039-2023,,2023-05-25,AUTORIZADA,CNT,HORIZONTAL
CNT-041-2023,,2023-05-25,AUTORIZADA,CNT,DIVERSIFICACION POR LINEA DE PRODUCTO
CNT-046-2023,,2023-05-25,AUTORIZADA,CNT,AUMENTO DE PARTICIPACIÓN ACCIONARIA
CNT-047-2023,,2023-05-25,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-052-2023,,2023-05-25,AUTORIZADA,CNT,HORIZONTAL
CNT-058-2023,,2023-05-25,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-125-2022,,2023-05-22,AUTORIZADA,CNT,HORIZONTAL
CNT-022-2023,,2023-05-19,AUTORIZADA,CNT,AUMENTO DE PARTICIPACIÓN ACCIONARIA
CNT-032-2023,,2023-05-19,AUTORIZADA,CNT,DIVERSIFICACION POR LINEA DE PRODUCTO
CNT-002-2023,,2023-11-05,AUTORIZADA,CNT,DIVERSIFICACION POR EXTENSIÓN DE MERCADO
CNT-016-2023,,2023-11-05,AUTORIZADA,CNT,AUMENTO DE PARTICIPACIÓN ACCIONARIA
CNT-029-2023,,2023-11-05,AUTORIZADA,CNT,HORIZONTAL
CNT-037-2023,,2023-11-05,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-051-2023,,2023-11-05,AUTORIZADA,CNT,HORIZONTAL
CNT-157-2022,,2023-11-05,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-027-2023,,2023-04-05,AUTORIZADA,CNT,HORIZONTAL
CNT-028-2023,,2023-04-05,AUTORIZADA,CNT,HORIZONTAL
CNT-035-2023,,2023-04-05,AUTORIZADA,CNT,DIVERSIFICACION POR LINEA DE PRODUCTO
CNT-004-2023,,2023-04-27,AUTORIZADA,CNT,DIVERSIFICACION POR EXTENSIÓN DE MERCADO
CNT-009-2023,,2023-04-27,AUTORIZADA,CNT,HORIZONTAL
CNT-017-2023,,2023-04-27,AUTORIZADA,CNT,VERTICAL
CNT-126-2022,,2023-04-27,AUTORIZADA,CNT,HORIZONTAL
CNT-003-2023,,2023-04-17,AUTORIZADA,CNT,VERTICAL
CNT-008-2023,,2023-04-17,AUTORIZADA,CNT,HORIZONTAL
CNT-020-2023,,2023-04-17,AUTORIZADA,CNT,AUMENTO DE PARTICIPACIÓN ACCIONARIA
CNT-033-2023,,2023-04-17,AUTORIZADA,CNT,HORIZONTAL
CNT-005-2023,,2023-03-23,AUTORIZADA,CNT,HORIZONTAL
CNT-006-2023,,2023-03-23,AUTORIZADA,CNT,HORIZONTAL
CNT-163-2022,,2023-03-23,AUTORIZADA,CNT,HORIZONTAL
CNT-168-2022,,2023-03-23,AUTORIZADA,CNT,HORIZONTAL
CNT-015-2023,,2023-03-16,AUTORIZADA,CNT,VERTICAL
CNT-019-2023,,2023-03-16,AUTORIZADA,CNT,HORIZONTAL
CNT-021-2023,,2023-03-16,AUTORIZADA,CNT,AUMENTO DE PARTICIPACIÓN ACCIONARIA
CNT-025-2023,,2023-03-16,AUTORIZADA,CNT,HORIZONTAL
CNT-001-2023,,2023-09-03,AUTORIZADA,CNT,HORIZONTAL
CNT-010-2023,,2023-09-03,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-014-2023,,2023-09-03,AUTORIZADA,CNT,HORIZONTAL
CNT-134-2022,,2023-09-03,AUTORIZADA,CNT,HORIZONTAL
CNT-144-2022,,2023-09-03,AUTORIZADA,CNT,VERTICAL
CNT-149-2022,,2023-09-03,AUTORIZADA,CNT,HORIZONTAL
CNT-152-2022,,2023-09-03,AUTORIZADA,CNT,HORIZONTAL
CNT-160-2022,,2023-09-03,AUTORIZADA,CNT,HORIZONTAL
CNT-161-2022,,2023-09-03,AUTORIZADA,CNT,VERTICAL
CNT-013-2023,,2023-02-27,AUTORIZADA,CNT,HORIZONTAL
CNT-158-2022,,2023-02-27,AUTORIZADA,CNT,HORIZONTAL
CNT-164-2022,,2023-02-27,AUTORIZADA,CNT,VERTICAL
CNT-150-2022,,2023-02-23,AUTORIZADA,CNT,VERTICAL
CNT-103-2022,,2023-02-20,AUTORIZADA,CNT,HORIZONTAL
CNT-085-2022,,2023-02-16,AUTORIZADA,CNT,HORIZONTAL
CNT-159-2022,,2023-02-16,AUTORIZADA,CNT,HORIZONTAL
CNT-059-2022,,2023-09-02,AUTORIZADA,CNT,HORIZONTAL
CNT-131-2022,,2023-09-02,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-155-2022,,2023-09-02,AUTORIZADA,CNT,DIVERSIFICACION POR LINEA DE PRODUCTO
CNT-147-2022,,2023-02-02,AUTORIZADA,CNT,HORIZONTAL
CNT-156-2022,,2023-02-02,AUTORIZADA,CNT,HORIZONTAL
CNT-148-2022,,2023-01-26,AUTORIZADA,CNT,HORIZONTAL
CNT-165-2022,,2023-01-26,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-166-2022,,2023-01-26,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-090-2022,,2023-01-19,AUTORIZADA,CNT,HORIZONTAL
CNT-092-2022,,2023-01-19,AUTORIZADA,CNT,HORIZONTAL
CNT-140-2022,,2023-01-19,AUTORIZADA,CNT,HORIZONTAL
CNT-151-2022,,2023-01-19,AUTORIZADA,CNT,DIVERSIFICACION PURA
CNT-137-2022,,2023-12-01,AUTORIZADA,CNT,HORIZONTAL
CNT-139-2022,,2023-05-01,AUTORIZADA,CNT,REESTRUCTURACIÓN CORPORATIVA
LI-003(01)-2023,,2023-10-19,FAVORABLE,LI,
LI-003(02)-2023,,2023-10-19,FAVORABLE,LI,
OCCP-005-2023,,2023-08-31,FAVORABLE,OCCP,
ONCP-008-2023,,2023-08-24,FAVORABLE,ONCP,
ONCP-007-2023,,2023-06-07,FAVORABLE,ONCP,
OCCP-004-2023,,2023-06-22,FAVORABLE,OCCP,
ONCP-004-2023,,2023-06-22,FAVORABLE,ONCP,
OCCP-003-2023,,2023-01-06,FAVORABLE,OCCP,
ONCP-001-2023,,2023-05-19,FAVORABLE,ONCP,
OCCP-002-2023,,2023-04-27,FAVORABLE,OCCP,
LI-003-2023,,2023-04-20,COMENTARIOS Y/O RECOMENDACIÓN,LI,
LI-002-2023,,2023-04-18,FAVORABLE,LI,
ONCP-002-2023,,2023-03-23,FAVORABLE,ONCP,
LI-001-2023,,2023-03-16,COMENTARIOS Y/O RECOMENDACIÓN,LI,
OCCP-001-2023,,2023-10-03,FAVORABLE,OCCP,
ONCP-013-2022,,2023-09-03,FAVORABLE,ONCP,
LI-001(01)-2022,,2023-01-31,FAVORABLE,LI,
LI-001(02)-2022,,2023-01-31,FAVORABLE,LI,
LI-001(03)-2022,,2023-01-31,FAVORABLE,LI,
LI-001(04)-2022,,2023-01-31,FAVORABLE,LI,
ONCP-010-2022,,2023-12-01,FAVORABLE,ONCP,
OPN-002-2023,,2023-11-23,,OPN,
OPN-001-2023,,2023-03-24,,OPN,
COMP-001-2015-III,,2023-10-08,NO SE ACREDITÓ INCUMPLIMIENTO,COMP,
VCN-004-2023,MERCADO DE MANUFACTURA DE METALES.,2023-10-07,SANCIÓN/ACREDITACIÓN DEL INCUMPLIMIENTO,VCN,
VCN-002-2023,SERVICIOS  HOTELEROS.,2023-09-06,SANCIÓN/ACREDITACIÓN DEL INCUMPLIMIENTO,VCN,
VCN-003-2023,SERVICIOS DE ASISTENCIA EN TIERRA EN AEROPUERTOS,2023-09-06,SANCIÓN/ACREDITACIÓN DEL INCUMPLIMIENTO,VCN,
VCN-006-2022,SERVICIOS DE GESTIÓN Y TRATAMIENTO DE AGUA Y RESIDUOS.,2023-05-23,SANCIÓN/ACREDITACIÓN DEL INCUMPLIMIENTO,VCN,
VCN-003-2022,"CASINOS, LOTERÍAS Y OTROS JUEGOS DE AZAR",2023-02-05,SANCIÓN/ACREDITACIÓN DEL INCUMPLIMIENTO,VCN,
VCN-001-2023,COMERCIALIZACIÓN DE AURICULARES Y SOLUCIONES DE VIDEOCONFERENCIA EN EL SEGMENTO DE DISPOSITIVOS USB.,2023-02-27,SANCIÓN/ACREDITACIÓN DEL INCUMPLIMIENTO,VCN,
VSP-002-2019-I,AUTOTRANSPORTE FEDERAL DE PASAJEROS CON ORIGEN EN EL AIC,2023-01-17,NO SE ACREDITÓ INCUMPLIMIENTO,VSP,
DE-018-2025,,2025-07-07,Desechamiento,DE,
DE-008-2025,,2025-04-07,No presentada,DE,
DE-007-2025,,2025-06-27,Desechamiento,DE,
IO-003-2020,SERVICIOS DE PUBLICIDAD DIGITAL Y SERVICIOS RELACIONADOS,2025-09-06,Cierre,IO,
IO-001-2019,"MERCADO DE LA COMERCIALIZACIÓN Y DISTRIBUCIÓN DE GASOLINAS Y DIÉSEL, ASÍ COMO EXPENDIO AL PÚBLICO DE ÉSTAS EN ESTACIONES DE SERVICIO EN EL TERRITORIO NACIONAL",2025-02-06,Sanción,IO,
DE-003-2025,,2025-03-27,No presentada,DE,
DE-001-2025,,2025-03-18,Desechamiento,DE,
IO-004-2017,"MERCADO DE LA PRODUCCIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN EN EL TERRITORIO NACIONAL DE PRODUCTOS PARA LA HIGIENE MANUFACTURADOS CON CELULOSA, PULPA DE CELULOSA Y SUS DERIVADOS, INCLUYENDO PAÑALES PARA BEBÉ, PROTECCIÓN SANITARIA FEMENINA, PRODUCTOS PA",2025-02-18,Sanción,IO,
IO-004-2021,MERCADO DE LOS SERVICIOS DE TRANSPORTE MARÍTIMO EN EL ESTADO DE QUINTANA ROO,2025-05-02,Sanción,IO,
DE-026-2024,,2024-12-20,Desechamiento,DE,
IO-002-2015,MERCADO DE SERVICIOS AL PÚBLICO DE TRANSPORTE AÉREO DE PASAJEROS Y/O DE CARGA CON ORIGEN Y/O DESTINO EN EL TERRITORIO NACIONAL.,2024-12-17,Sanción,IO,
IO-002-2020,"ABASTECIMIENTO Y DISTRIBUCIÓN AL MAYOREO DE BIENES DE CONSUMO, COMERCIALIZACIÓN MINORISTA DE ÉSTOS Y SERVICIOS RELACIONADOS",2024-10-12,ORDEN DE SUPRESIÓN,IO,
DE-009-2019,MERCADO DEL EXPENDIO AL PÚBLICO DE GASOLINAS Y DIÉSEL EN ESTACIONES DE SERVICIO EN EL TERRITORIO NACIONAL,2024-02-10,Sanción,DE,
IO-002-2019,"PRODUCCIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN DE IMPERMEABILIZANTES EN EL TERRITORIO NACIONAL",2024-09-30,Sanción,IO,
DE-011-2024,,2024-10-09,Desechamiento,DE,
DE-019-2024,,2024-10-09,Desechamiento,DE,
DE-017-2024,,2024-08-27,Desechamiento,DE,
DE-016-2024,,2024-08-23,Desechamiento,DE,
DE-011-2016,"MERCADO DE SERVICIOS INTEGRALES DE ESTUDIOS DE LABORATORIO Y BANCO DE SANGRE, ASÍ COMO DE BIENES Y SERVICIOS RELACIONADOS CON ÉSTOS, CONTRATADOS POR EL SISTEMA NACIONAL DE SALUD EN EL TERRITORIO NACIONAL",2024-08-19,Sanción,DE,
DE-014-2024,,2024-08-19,Desechamiento,DE,
DE-014-2023,,2024-10-08,No presentada,DE,
DE-010-2024,,2024-04-07,No presentada,DE,
DE-013-2024,,2024-06-26,Desechamiento,DE,
DE-012-2024,,2024-06-19,Desechamiento,DE,
DE-006-2024,,2024-05-24,Desechamiento,DE,
DE-029-2019,EXPENDIO AL PÚBLICO DE DIÉSEL MARINO EN ESTACIONES DE SERVICIO EN EL TERRITORIO NACIONAL.,2024-05-24,Sanción,DE,
DE-007-2024,,2024-05-15,Desechamiento,DE,
IO-006-2016,MERCADO DE LA INTERMEDIACIÓN DE VALORES EMITIDOS POR EL GOBIERNO MEXICANO,2024-05-13,Sanción,IO,
DE-005-2024,,2024-03-04,No presentada,DE,
DE-001-2024,,2024-03-15,No presentada,DE,
DE-002-2021,,2024-02-23,Desechamiento,DE,
DE-030-2023,,2024-02-23,No presentada,DE,
DE-029-2023,,2024-02-02,No presentada,DE,
DE-026-2023,,2024-12-01,No presentada,DE,
DE-025-2023,,2023-11-24,No presentada,DE,
DE-022-2023,,2023-09-27,No presentada,DE,
IO-001-2021,"INTEGRACIÓN, INSTALACIÓN, MANTENIMIENTO Y COMERCIALIZACIÓN DE EQUIPOS, ACCESORIOS Y REFACCIONES PARA EL APROVECHAMIENTO DE GASES INDUSTRIALES EN TERRITORIO NACIONAL",2023-11-09,Sanción,IO,
DE-017-2023,,2023-08-25,No presentada,DE,
DE-044-2018,"IMPORTACIÓN, COMERCIALIZACIÓN, TRANSPORTE, ALMACENAMIENTO, DISTRIBUCIÓN Y EXPENDIO AL PÚBLICO DE GAS LICUADO DE PETRÓLEO EN TERRITORIO NACIONAL, BIENES Y SERVICIOS RELACIONADOS CON LOS MISMOS",2023-08-22,Cierre,DE,
DE-019-2023,,2023-02-08,Desechamiento,DE,
DE-018-2023,,2023-07-14,Desechamiento,DE,
IEBC-005-2018,MERCADO RELEVANTE DE TARJETAS DE DÉBITO (MRTDD): EL SERVICIO DE TRANSACCIONES DOMÉSTICAS CON TARJETAS DE DÉBITO PARA COMPRA Y VENTA DE BIENES Y SERVICIOS.,2023-07-13,RECOMENDACIONES A AUTORIDADES,IEBC,
DE-012-2023,,2023-07-07,No presentada,DE,
DE-016-2023,,2023-05-07,Desechamiento,DE,
DE-006-2023,,2023-06-22,Desechamiento,DE,
DE-013-2023,,2023-05-29,Desechamiento,DE,
DE-032-2019,"PRODUCCIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN DE TORTILLAS DE MAÍZ EN EL MUNICIPIO DE HUIXTLA, CHIAPAS.",2023-05-25,Sanción,DE,
DE-005-2023,,2023-05-18,No presentada,DE,
DE-007-2023,,2023-05-17,No presentada,DE,
DE-009-2023,,2023-04-26,Desechamiento,DE,
DE-011-2023,,2023-04-26,Desechamiento,DE,
DE-003-2023,,2023-04-24,No presentada,DE,
DE-004-2023,,2023-03-17,Desechamiento,DE,
IEBC-002-2019,,2023-06-03,RECOMENDACIONES A AUTORIDADES;ÓRDENES PARA ELIMINAR BARRERAS,IEBC,
DE-022-2022,,2022-06-12,Desechamiento,DE,
IO-001-2018,"COMERCIALIZACIÓN, ALMACENAMIENTO Y TRANSPORTE DE PETROLÍFEROS EN MÉXICO Y SERVICIOS RELACIONADOS CON LOS MISMOS.",2022-04-11,Cierre,IO,
DE-022-2017,DISTRIBUCIÓN Y COMERCIALIZACIÓN DE GAS LICUADO DE PETRÓLEO EN TERRITORIO NACIONAL.,2022-10-26,Sanción,DE,
DE-016-2022,,2022-10-14,No presentada,DE,
IO-003-2017,"MERCADO DEL SERVICIO DE AUTOTRANSPORTE TERRESTRE DE PASAJEROS EN LAS REGIONES CENTRO, CENTRO-SUR, SUR-SURESTE Y EL ESTADO DE TAMAULIPAS",2022-12-10,Sanción,IO,
DE-011-2022,,2022-08-29,No presentada,DE,
DE-008-2022,,2022-02-08,Desechamiento,DE,
DE-001-2022,,2022-05-20,Desechamiento,DE,
IO-004-2018,"PRODUCCIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN DE HARINA DE MAÍZ EN EL TERRITORIO NACIONAL",2022-12-05,CIERRE POR INEXISTENCIA DE ELEMENTOS,IO,
IO-003-2018,RELATIVO A LOS PROCEDIMIENTOS DE ADQUISICIÓN RELACIONADOS CON LA RENOVACIÓN Y MANTENIMIENTO DE TECNOLOGÍA Y SISTEMAS UTILIZADOS EN LA INFRAESTRUCTURA CARRETERA EN EL TERRITORIO NACIONAL,2022-04-25,CIERRE POR INEXISTENCIA DE ELEMENTOS,IO,
DE-029-2021,,2022-03-18,Desechamiento,DE,
DE-013-2018,AUTOTRANSPORTE FEDERAL DE PASAJEROS CON ORIGEN O DESTINO EN EL AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MÉXICO Y SERVICIOS RELACIONADOS,2022-03-15,Sanción,DE,
DE-026-2021,,2022-03-01,Desechamiento,DE,
DE-027-2021,,2022-03-01,Desechamiento,DE,
DE-028-2021,,2022-03-01,Desechamiento,DE,
DE-006-2021,,2021-07-11,No presentada,DE,
DE-012-2021,,2021-03-11,No presentada,DE,
DE-016-2021,,2021-10-29,No presentada,DE,
DE-023-2021,,2021-10-26,Desechamiento,DE,
DE-014-2021,,2021-08-10,No presentada,DE,
DE-015-2021,,2021-08-10,No presentada,DE,
DE-021-2021,,2021-04-10,Desechamiento,DE,
IO-002-2018,FICHAJE DE JUGADORES PROFESIONALES DE FÚTBOL EN EL TERRITORIO NACIONAL.,2021-09-28,Sanción,IO,
DE-003-2021,,2021-03-09,Desechamiento,DE,
DE-009-2021,,2021-08-20,No presentada,DE,
IO-001-2016,"PRODUCCIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN DE MEDICAMENTOS EN EL TERRITORIO NACIONAL.",2021-02-08,Sanción,IO,
DE-024-2020,,2021-04-07,No presentada,DE,
DE-005-2021,,2021-02-07,Desechamiento,DE,
DE-029-2020,,2021-04-06,No presentada,DE,
DE-030-2020,,2021-05-25,No presentada,DE,
DE-001-2021,,2021-04-20,No presentada,DE,
DE-031-2020,,2021-04-16,No presentada,DE,
IO-006-2017,"LA PRODUCCIÓN, COMERCIALIZACIÓN Y DISTRIBUCIÓN DE AZÚCAR EN EL TERRITORIO NACIONAL",2021-03-25,CIERRE POR INEXISTENCIA DE ELEMENTOS,IO,
DE-008-2021,,2021-06-03,Desechamiento,DE,
DE-004-2021,,2021-05-03,Desechamiento,DE,
DE-017-2020,,2021-02-22,No presentada,DE,
DE-018-2020,,2021-02-22,No presentada,DE,
DE-014-2020,,2020-10-12,No presentada,DE,
DE-021-2020,,2020-11-30,No presentada,DE,
DE-020-2020,,2020-11-23,No presentada,DE,
DE-016-2020,,2020-11-11,No presentada,DE,
DE-015-2020,,2020-10-28,No presentada,DE,
DE-022-2020,,2020-10-27,Desechamiento,DE,
DE-012-2020,,2020-07-10,No presentada,DE,
DE-010-2020,,2020-05-10,No presentada,DE,
IEBC-001-2015,PROVISIÓN DE LOS SERVICIOS DE TRANSPORTE AÉREO QUE UTILIZAN EL AICM PARA SUS PROCEDIMIENTOS DE ATERRIZAJE Y/O DESPEGUE,2020-09-24,CIERRE COMPROMISOS,IEBC,
DE-002-2020,,2020-09-13,No presentada,DE,
DE-006-2020,,2020-08-31,No presentada,DE,
DE-022-2015,MERCADO DE COMERCIALIZACIÓN DE GASOLINAS EN ESTACIONES,2020-08-27,EMPLAZAMIENTO,DE,
DE-024-2013,"PRODUCCIÓN, DISTRIBUCIÓN Y COMERCIALIZACIÓN DE PRODUCTOS DE LÁTEX ADQUIRIDOS POR EL SECTOR SALUD EN EL TERRITORIO NACIONAL",2020-08-21,Sanción,DE,
